Index, Title, Genre Vec 
117,Four Feathers,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118,Fresh from the Farm,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
119,Giving Them Fits,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
121,The Italian,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
122,Love, Loot and Crash,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
123,Pool Sharks,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
125,The Soul of Broadway,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
126,The Toast of Death,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
127,The Tramp,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
128,The Warrens of Virginia,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
129,Work,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
130,20,000 Leagues Under the Sea,[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
131,The Abandonment,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
132,The Aryan,[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
133,The Bondman,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
134,Civilization,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
135,A Daughter of the Gods,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
136,Divorce and the Daughter,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
137,Fatty and Mabel Adrift,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
138,The Fireman,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
140,Hoodoo Ann,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
141,Hulda from Holland,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
143,Lights of New York,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
144,Lonesome Luke Leans to the Literary,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
145,Madame X,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
147,Manhattan Madness,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
148,One A.M.,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
149,The Other Side of the Door,[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
151,The Soul's Cycle,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
152,The Stepping Stone,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
153,Under Two Flags,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
154,Where Are My Children?,[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]
155,Youth's Endearing Charm,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
156,All Aboard,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
157,The Bad Boy,[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]
158,Bucking Broadway,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
159,The Butcher Boy,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
160,Camille,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
161,Cheyenne's Pal,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
163,The Devil-Stone,[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
164,Easy Street,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
166,Golden Rule Kate,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
167,Great Expectations,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
168,The Gulf Between,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
169,Her Right to Live,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
170,His Wedding Night,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
171,The Immigrant,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
172,In Again, Out Again,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
173,The Jury of Fate,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
174,The Little American,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
175,The Little Princess,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
176,The Man Without a Country,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
177,The Mate of the Sally Ann,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
178,A Modern Musketeer,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
179,Oh Doctor!,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
180,Peggy, the Will O' the Wisp,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
181,The Poor Little Rich Girl,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
182,Reaching for the Moon,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
183,Rebecca of Sunnybrook Farm,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
184,A Reckless Romeo,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
185,The Rough House,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
187,Straight Shooting,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
188,A Strange Transgressor,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
190,The Woman God Forgot,[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
191,All Woman,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
192,Amarilly of Clothes-Line Alley,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
193,Are Crooks Dishonest?,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
194,Arizona,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
195,Beauty and the Rogue,[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]
196,Believe Me, Xantippe,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
197,The Bell Boy,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
198,The Blue Bird,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
200,The Bride's Awakening,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
201,Cecilia of the Pink Roses,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
202,The Cook,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
203,The Craving,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
204,The Deciding Kiss,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
205,The Eyes of Julia Deep,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
207,Face Value,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
208,The Forbidden City,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
209,Friend Husband,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
210,Fuss and Feathers,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
211,The Ghost of Slumber Mountain,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
212,The Goddess of Lost Lake,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
213,The Great Love,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
214,The Greatest Thing in Life,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
215,He Comes Up Smiling,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
216,Headin' South,[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
219,Hell Bent,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
220,The House of Mirth,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
221,Huck and Tom,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
222,The Legion of Death,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
224,Mickey,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
225,Moonshine,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
226,Mr. Fix-It,[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
227,Nine-Tenths of the Law,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
228,The Non-Stop Kid,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
229,Old Wives for New,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
231,Out West,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
